source_id|source|source_column|name|azt_id
9781|IMPACT|TRIAL_ALIAS_CODE|04-3121|D5254C03121
9780|IMPACT|TRIAL_ALIAS_CODE|DX-PUL-1002|D5254L00009
10302|IMPACT|TRIAL_ALIAS_CODE|1839IL/0516|D7913L00516
10301|IMPACT|TRIAL_ALIAS_CODE|1839IL/0515|D7913L00515
11067|IMPACT|TRIAL_ALIAS_CODE|BU-543-0677|BU-543-0677
11066|IMPACT|TRIAL_ALIAS_CODE|BU-037-0004|BU-037-0004
11065|IMPACT|TRIAL_ALIAS_CODE|BU-037-0001|BU-037-0001
11064|IMPACT|TRIAL_ALIAS_CODE|BU-008-0005|BU-008-0005
11063|IMPACT|TRIAL_ALIAS_CODE|BS-037-0001|BS-037-0001
11062|IMPACT|TRIAL_ALIAS_CODE|BR-PUL-0297|BR-PUL-0297
10962|IMPACT|TRIAL_ALIAS_CODE|04-9234|04-9234
10961|IMPACT|TRIAL_ALIAS_CODE|04-9233|D5254C09233
10960|IMPACT|TRIAL_ALIAS_CODE|04-9231|04-9231
10959|IMPACT|TRIAL_ALIAS_CODE|04-9230|04-9230
10958|IMPACT|TRIAL_ALIAS_CODE|04-9229|04-9229
10957|IMPACT|TRIAL_ALIAS_CODE|04-9227|04-9227
10956|IMPACT|TRIAL_ALIAS_CODE|04-9226|04-9226
10955|IMPACT|TRIAL_ALIAS_CODE|04-9225|04-9225
9796|IMPACT|TRIAL_ALIAS_CODE|SH-AHM-0014|D2455C00014
12197|IMPACT|TRIAL_ALIAS_CODE|CLATCPOHT-2|CLATCPOHT-2
10947|IMPACT|TRIAL_ALIAS_CODE|04-9212|04-9212
10517|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0126|
10516|IMPACT|TRIAL_ALIAS_CODE|IRUSQUET0110|
9779|IMPACT|TRIAL_ALIAS_CODE|04-9323|D5254L09234
11061|IMPACT|TRIAL_ALIAS_CODE|BR-PUL-0197|BR-PUL-0197
11060|IMPACT|TRIAL_ALIAS_CODE|BN-00P-0084|BN-00P-0084
